input,Sij,split,test_points,deg,ridge,n_cycles,gate,Z0,baseline_test_MSE,ufrf_test_MSE,improvement_percent,train_gain_used,used_ufrf,tau_est,phi0_est
RDEC71E476MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,0.577509149727344,0.577509149727344,0.0,0.003322832135712,False,2.7245339352698984e-09,0.053867062872940005
RDER71H335K3S1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.356450161720443,2.356450161720443,0.0,0.006455267073890001,False,9.61606363822625e-09,0.19343100417604603
RCER71E226MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.157154180294879,1.157154180294879,0.0,0.002791244231193,False,4.08184142506272e-09,0.08126750986528401
RHEL81E106K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.026054555707196,2.026054555707196,0.0,0.001400853292462,False,6.233300260836491e-09,0.125029021893923
RCER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310696143626,2.349310696143626,0.0,0.0065754864543240005,False,9.655624114519991e-09,0.19412054759973402
RCEC72A475K3DNH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.423312554575948,2.423312554575948,0.0,0.0035064536316450003,False,8.693416495791738e-09,0.17489348589946602
RDEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.1284470030827851,1.1284470030827851,0.0,0.0028499289029140003,False,4.0021420064611555e-09,0.079244549536333
RCEC71H475K2A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.427988298549641,2.427988298549641,0.0,0.0035967664846280004,False,8.721655142629207e-09,0.17548040820089503
RCEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4230154565072652,2.4230154565072652,0.0,0.0040770591869730005,False,8.895945755543016e-09,0.17884978056393003
RHEL81H475K3DBH03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.4248001037360982,2.4248001037360982,0.0,0.003286486263808,False,8.614635399362476e-09,0.17328745603605603
RHEL81H106MWM1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.108247075050152,2.108247075050152,0.0,0.001297842884336,False,6.503940341664787e-09,0.13013115512039
RCEC71H106K3A2H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.043228950532829,2.043228950532829,0.0,0.0013786236771950002,False,6.2835424273146395e-09,0.126048888577408
RHEL81E226MWK1H03B_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,1.157154180294879,1.157154180294879,0.0,0.002791244231193,False,4.08184142506272e-09,0.08126750986528401
RHEL81H335K3M1H03A_DC0V_25degC_series.s2p,S21,block,80,3,0.001,13,0.02,50.0,2.349310711236201,2.349310711236201,0.0,0.006575498254319001,False,9.655619893483382e-09,0.19412046244807502
