k,Pi
147.5,-2.2328058659462343e-42
148.5,-2.600395145817819e-42
149.5,-3.500696105571335e-42
150.5,-4.936422214028566e-42
151.5,-3.568130832324334e-42
152.5,-3.4967051307529734e-42
153.5,-4.334224783989293e-42
154.5,-4.744457681446211e-42
155.5,-2.552035317842497e-42
156.5,-1.255156167243343e-42
157.5,-2.0511195886912758e-42
158.5,-1.7806691558873703e-42
159.5,2.5551161412773052e-42
160.5,5.006897638220031e-43
161.5,3.783269957875768e-43
162.5,1.2254685827868461e-42
163.5,9.368379329622133e-43
164.5,2.479972190345517e-42
165.5,1.4760194713987027e-42
166.5,2.794492136483021e-42
167.5,2.7325824197472e-42
168.5,2.814300237759501e-42
169.5,2.6666963053175393e-42
170.5,2.9818796235719644e-42
171.5,3.447897675599208e-42
172.5,3.643735585754696e-42
173.5,4.2125073305808354e-42
174.5,6.577235174148487e-42
175.5,4.628309424081877e-42
176.5,4.690184239656524e-42
177.5,3.63792625380862e-42
178.5,3.878799554066239e-42
179.5,1.2520276407131364e-42
180.5,2.5764638070644614e-43
181.5,0.0
182.5,0.0
