k,Tk
171.5,-1.9583791015548806e-43
172.5,-5.687717448261388e-43
173.5,-2.3647278435676514e-42
174.5,1.94892575006661e-42
175.5,-6.187481557464688e-44
176.5,1.052257985847904e-42
177.5,-2.408733002576188e-43
178.5,2.6267719133531026e-42
179.5,9.943812600066903e-43
180.5,2.5764638070644614e-43
181.5,0.0
182.5,0.0
