step,time,energy,enstrophy,div_rms,epsilon,dE_dt,P_in,residual
900,0.9,9.16844198039184e-06,0.005791272984158701,3.274947519942433e-10,5.284661690242058e-10,0.000648900217010732,3.0279380430635256e-05,0.0006186213650462658
950,0.9500000000000001,9.809504327212421e-06,0.006196203235744385,3.1527975625954504e-10,5.654169277195067e-10,0.0006410623468205819,3.1320076353802694e-05,0.0006097428358837069
1000,1.0,1.0441085849774503e-05,0.006595144878746174,3.0406417088796117e-10,6.018212129896183e-10,0.0006315815225620815,3.231261983772356e-05,0.0005992695045455709
1050,1.05,1.106180091580035e-05,0.006987222671385182,2.93717508284074e-10,6.375991571308528e-10,0.0006207150660258473,3.325923886979888e-05,0.0005874564647552055
1100,1.1,1.1670492919182637e-05,0.007371706037512172,2.841343532122138e-10,6.72684093490737e-10,0.0006086920033822868,3.4162058349654395e-05,0.0005745306177167259
1150,1.1500000000000001,1.2266208775169335e-05,0.007747992956329535,2.7522806496797116e-10,7.070210863703694e-10,0.0005957158559866982,3.5023104858955706e-05,0.0005606934581488289
1200,1.2,1.2848175943292072e-05,0.008115595448784983,2.6692634821361036e-10,7.405656066264877e-10,0.0005819671681227367,3.5844311210527276e-05,0.0005461235974778161
1250,1.25,1.3415781739254712e-05,0.008474126509805302,2.591680837937782e-10,7.73282339209562e-10,0.0005676057959626405,3.6627520786986506e-05,0.0005309790484579933
1300,1.3,1.3968554719059658e-05,0.008823288349474476,2.519010197761857e-10,8.051441101458789e-10,0.0005527729798049459,3.737449167863081e-05,0.0005153992932704252
1350,1.35,1.4506147938695893e-05,0.009162861818923337,2.45080057437806e-10,8.361309216271151e-10,0.000537593219636235,3.808690062986739e-05,0.0004995071551372892
1400,1.4000000000000001,1.5028323910924167e-05,0.009492696908201724,2.386659546555427e-10,8.662290849206328e-10,0.0005221759722282741,3.876634680304406e-05,0.0004834104916543149
1450,1.45,1.5534941097239235e-05,0.009812704213854783,2.3262432664853157e-10,8.954304417673785e-10,0.0005066171863150672,3.9414355368129006e-05,0.00046720372637738
1500,1.5,1.602594178812164e-05,0.010122847283420718,2.2692486209971327e-10,9.237316658007585e-10,0.0004910006908824057,4.0032380926298214e-05,0.00045096923368777325
1550,1.55,1.650134123834436e-05,0.010423135752691187,2.215406979091237e-10,9.51133636306824e-10,0.0004753994502227206,4.0621810775115505e-05,0.0004347785905812414
1600,1.6,1.696121793650168e-05,0.010713619199409606,2.1644791301194156e-10,9.776408773609662e-10,0.00045987669815731816,4.1183968022634485e-05,0.000418693707775561
1650,1.6500000000000001,1.740570489919238e-05,0.010994381644197988,2.1162511319590487e-10,1.003261056025611e-09,0.0004444869626907025,4.172011455741261e-05,0.0004027678513943459
1700,1.7,1.7834981890519045e-05,0.011265536635964702,2.0705308654570088e-10,1.028004533883068e-09,0.0004292769913266637,4.223145388110388e-05,0.0003870465654500937
1750,1.75,1.8249268476857256e-05,0.01152722286491491,2.027145148949734e-10,1.051883966713258e-09,0.00041428658633821077,4.271913380998966e-05,0.0003715685044121878
1800,1.8,1.8648817835283275e-05,0.011779600251613334,1.985937301513349e-10,1.074913947612249e-09,0.0003995493584260193,4.3184249051511265e-05,0.00035636618428845564
1850,1.85,1.90339112417081e-05,0.012022846465387054,1.9467650725468291e-10,1.0971106892889958e-09,0.0003850934064248242,4.3627843661586644e-05,0.0003414666598739269
1900,1.9000000000000001,1.940485317172306e-05,0.01225715382975069,1.9094988719862883e-10,1.11849174167871e-09,0.00037094193001496154,4.4050913388229465e-05,0.00032689213511847377
