file,Sij,baseline_test_MSE,ufrf_test_MSE,freq_min_GHz,freq_max_GHz,device_type,family,leaderboard,improvement_%
NFZ5BBW220LZ10_series.s2p,S21,0.0131525478827782,0.0132948164973392,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.081681023547424
NFZ5BBW2R9LN10_series.s2p,S21,0.0079828552927088,0.0079758857862297,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.08730593532700506
NFZ5BBW2R9LZ10_series.s2p,S21,0.0079828552927088,0.0079758857862297,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.08730593532700506
NFZ5BBW310LN10_series.s2p,S21,0.0114173051017287,0.0115469365443428,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.1353943987576711
NFZ5BBW310LZ10_series.s2p,S21,0.0114173051017287,0.0115469365443428,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.1353943987576711
NFZ5BBW450LN10_series.s2p,S21,0.0111188943381317,0.0112311279821509,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.009395724126086
NFZ5BBW450LZ10_series.s2p,S21,0.0111188943381317,0.0112311279821509,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.009395724126086
NFZ5BBW4R5LN10_series.s2p,S21,0.0277606950819473,0.0279031477660151,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.5131452351869847
NFZ5BBW4R5LZ10_series.s2p,S21,0.0277606950819473,0.0279031477660151,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.5131452351869847
NFZ5BBW520LN10_series.s2p,S21,0.0108936482457878,0.010999597047541,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9725741033924687
NFZ5BBW520LZ10_series.s2p,S21,0.0108936482457878,0.010999597047541,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9725741033924687
NFZ5BBW610LN10_series.s2p,S21,0.011938200288686,0.012051395429555,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9481759237720033
NFZ5BBW610LZ10_series.s2p,S21,0.011938200288686,0.012051395429555,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-0.9481759237720033
NFZ5BBW6R7LN10_series.s2p,S21,0.0055203150654291,0.0055076480498373,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.22946182313265953
NFZ5BBW6R7LZ10_series.s2p,S21,0.0055203150654291,0.0055076480498373,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.22946182313265953
NFZ5BBW7R6LN10_series.s2p,S21,0.0055203150654291,0.0055076480498373,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.22946182313265953
NFZ5BBW7R6LZ10_series.s2p,S21,0.0055203150654291,0.0055076480498373,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,0.22946182313265953
NFZ5BBW970LN10_series.s2p,S21,0.0151935398687325,0.0153496502410993,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.0274786107486822
NFZ5BBW970LZ10_series.s2p,S21,0.0151935398687325,0.0153496502410993,0.001,3.0,passive,NFZ,results/batch_s21_sparameters (1)/leaderboard.csv,-1.0274786107486822
LQG15HH10NH02_series.s2p,S11,0.4407207581683064,0.3567394627228046,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.05544358621526
LQG15HH10NJ02_series.s2p,S11,0.4407207581683064,0.3567394627228046,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,19.05544358621526
LQG15HH12NG02_series.s2p,S11,0.4657854719377508,0.3639246965049002,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.86860294484745
LQG15HH12NH02_series.s2p,S11,0.4657854719377508,0.3639246965049002,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.86860294484745
LQG15HH12NJ02_series.s2p,S11,0.4657854719377508,0.3639246965049002,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,21.86860294484745
LQG15HH15NG02_series.s2p,S11,0.4776298355000122,0.3669756796248863,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,23.16734585042962
LQG15HH15NH02_series.s2p,S11,0.4776298355000122,0.3669756796248863,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,23.16734585042962
LQG15HH15NJ02_series.s2p,S11,0.4776298355000122,0.3669756796248863,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,23.16734585042962
LQG15HH18NG02_series.s2p,S11,0.4907485053326579,0.3708466917081042,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,24.43243582438978
LQG15HH18NH02_series.s2p,S11,0.4907485053326579,0.3708466917081042,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,24.43243582438978
LQG15HH18NJ02_series.s2p,S11,0.4907485053326579,0.3708466917081042,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,24.43243582438978
LQG15HH1N0B02_series.s2p,S11,0.359553044576241,0.2988248480647827,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.889913026054558
LQG15HH1N0C02_series.s2p,S11,0.359553044576241,0.2988248480647827,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.889913026054558
LQG15HH1N0S02_series.s2p,S11,0.359553044576241,0.2988248480647827,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.889913026054558
LQG15HH1N1B02_series.s2p,S11,0.3768266038402361,0.3153961641979756,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.30204423366702
LQG15HH1N1C02_series.s2p,S11,0.3768266038402361,0.3153961641979756,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.30204423366702
LQG15HH1N1S02_series.s2p,S11,0.3768266038402361,0.3153961641979756,0.05,20.0,passive,LQG,results/batch_s11_interleave_sparameters (3)/leaderboard.csv,16.30204423366702
