file,Sij,gated,train_improvement_percent,improvement_percent,device_type,family,freq_min_GHz,freq_max_GHz,leaderboard
RDEC71E475K2P1H03B_DC0V_25degC_series.s2p,S21,False,0.4151267431987734,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E475K2S1H03A_DC0V_25degC_series.s2p,S21,False,0.4151267431987734,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E476MWK1H03B_DC0V_25degC_series.s2p,S21,False,0.1485614541579497,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71E476MWM1H03A_DC0V_25degC_series.s2p,S21,False,0.1485614541579497,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H106K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.3765823219622989,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H106K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.3765823219622989,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H106K3P1H03B_DC0V_25degC_series.s2p,S21,False,0.3766620299260972,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H106K3S1H03A_DC0V_25degC_series.s2p,S21,False,0.3766620299260972,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H226MWK1H03B_DC0V_25degC_series.s2p,S21,False,0.2211849928689658,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H226MWM1H03A_DC0V_25degC_series.s2p,S21,False,0.2211849928689658,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H475K2K1H03B_DC0V_25degC_series.s2p,S21,False,0.4143317988119381,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H475K2M1H03A_DC0V_25degC_series.s2p,S21,False,0.4143317988119381,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H475K2P1H03B_DC0V_25degC_series.s2p,S21,False,0.4143582423550561,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC71H475K2S1H03A_DC0V_25degC_series.s2p,S21,False,0.4143582423550561,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.4141178473122919,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.4141178473122919,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475K3P1H03B_DC0V_25degC_series.s2p,S21,False,0.4141340292495871,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475K3S1H03A_DC0V_25degC_series.s2p,S21,False,0.4141340292495871,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475MWK1H03B_DC0V_25degC_series.s2p,S21,False,0.4031072946649364,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDEC72A475MWM1H03A_DC0V_25degC_series.s2p,S21,False,0.4031072946649364,,passive,RDEC,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDER71H335K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.3624502162475703,,passive,RDER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDER71H335K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.3624502162475703,,passive,RDER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDER71H335K3P1H03B_DC0V_25degC_series.s2p,S21,False,0.3644617739587722,,passive,RDER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RDER71H335K3S1H03A_DC0V_25degC_series.s2p,S21,False,0.3644617739587722,,passive,RDER,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E106K3A2H03B_DC0V_25degC_series.s2p,S21,False,0.3672125553773754,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E106K3DBH03A_DC0V_25degC_series.s2p,S21,False,0.3672125553773754,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E106K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.3670250327761686,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E106K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.3670250327761686,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E226MWK1H03B_DC0V_25degC_series.s2p,S21,False,0.2241305332835105,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81E226MWM1H03A_DC0V_25degC_series.s2p,S21,False,0.2241305332835105,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H106MWK1H03B_DC0V_25degC_series.s2p,S21,False,0.3843038399632936,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H106MWM1H03A_DC0V_25degC_series.s2p,S21,False,0.3843038399632936,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H335K3A2H03B_DC0V_25degC_series.s2p,S21,False,0.3667364959743583,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H335K3DBH03A_DC0V_25degC_series.s2p,S21,False,0.3667364959743583,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H335K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.3624502162475703,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H335K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.3624502162475703,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H475K3A2H03B_DC0V_25degC_series.s2p,S21,False,0.415850667573331,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H475K3DBH03A_DC0V_25degC_series.s2p,S21,False,0.415850667573331,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H475K3K1H03B_DC0V_25degC_series.s2p,S21,False,0.4158035670256559,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
RHEL81H475K3M1H03A_DC0V_25degC_series.s2p,S21,False,0.4158035670256559,,passive,RHEL,1e-07,0.1,results/batch_s21_delay_sparameters (2)/leaderboard.csv
BLE18PK100SN1_series.s2p,S21,False,0.2511878378632766,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
BLE18PK160SN1_series.s2p,S21,False,0.3260524500637321,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
BLE18PS080BH1_series.s2p,S21,False,0.1302766920242906,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
BLE18PS080SH1_series.s2p,S21,False,0.1302766920242906,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
BLE18PS080SN1_series.s2p,S21,False,0.1302766920242906,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
BLE18PS080SZ1_series.s2p,S21,False,0.1302766920242906,,passive,BLE,0.001,3.0,results/batch_s21_delay_sparameters (1)/leaderboard.csv
