event,q,chi1,chi2,af,af_pred_ufrf,af_pred_baseline,residual_ufrf,residual_baseline,abs_error_ufrf,abs_error_baseline
GW190828_065509,0.7837837837837838,0.19,0.48,0.77,0.4944254746058173,0.3525757575757575,0.2755745253941827,0.41742424242424253,0.2755745253941827,0.41742424242424253
GW190513_205428,0.7546666666666667,0.46,0.22,0.73,0.4458631333905301,0.3232218844984802,0.2841368666094699,0.40677811550151977,0.2841368666094699,0.40677811550151977
GW190503_185245,0.8058968058968058,0.29,0.32,0.72,0.4352999373253388,0.3066122448979592,0.2847000626746612,0.4133877551020408,0.2847000626746612,0.4133877551020408
GW190412,0.2790697674418604,0.43,0.06,0.43,0.1415072479963361,0.1407272727272727,0.28849275200366387,0.2892727272727273,0.28849275200366387,0.2892727272727273
GW190517_055101,0.8090185676392573,0.24,0.38,0.74,0.4513801783272462,0.3173900293255132,0.2886198216727538,0.4226099706744868,0.2886198216727538,0.4226099706744868
GW190620_030421,0.65625,0.29,0.37,0.73,0.4404904438497062,0.3383018867924528,0.2895095561502938,0.39169811320754716,0.2895095561502938,0.39169811320754716
GW190527_092055,0.7,0.48,0.16,0.69,0.3899310833676819,0.2917647058823529,0.30006891663231805,0.398235294117647,0.30006891663231805,0.398235294117647
GW190828_063405,0.78125,0.23,0.39,0.75,0.4478606130161821,0.3198245614035088,0.3021393869838179,0.4301754385964912,0.3021393869838179,0.4301754385964912
GW190719_215514,0.7142857142857143,0.51,0.06,0.64,0.3335527988485067,0.2475,0.3064472011514933,0.3925,0.3064472011514933,0.3925
GW170818,0.7549295774647887,0.3,0.23,0.67,0.3588614951143392,0.2601123595505618,0.31113850488566086,0.40988764044943826,0.31113850488566086,0.40988764044943826
GW190630_185205,0.75,0.2,0.42,0.76,0.4481062853217313,0.3257142857142857,0.3118937146782687,0.43428571428571433,0.3118937146782687,0.43428571428571433
GW190514_065416,0.7994505494505495,0.17,0.38,0.73,0.4055806792007321,0.2867022900763358,0.3244193207992679,0.4432977099236642,0.3244193207992679,0.4432977099236642
GW190727_060333,0.6190476190476191,0.49,0.05,0.61,0.2777734868076228,0.218235294117647,0.33222651319237717,0.391764705882353,0.33222651319237717,0.391764705882353
GW190421_213856,0.7875,0.4,0.17,0.72,0.3812834182123503,0.2713286713286713,0.3387165817876497,0.4486713286713287,0.3387165817876497,0.4486713286713287
GW190408_181802,0.7016129032258064,0.23,0.33,0.74,0.3862919632803209,0.2887677725118484,0.3537080367196791,0.4512322274881516,0.3537080367196791,0.4512322274881516
GW190728_064510,0.6666666666666666,0.33,0.09,0.6,0.2437069271048012,0.186,0.35629307289519874,0.414,0.35629307289519874,0.414
GW190708_232457,0.6521739130434783,0.17,0.31,0.7,0.3308671885518199,0.2547368421052631,0.36913281144818005,0.44526315789473686,0.36913281144818005,0.44526315789473686
GW190803_022701,0.6923076923076923,0.27,0.24,0.71,0.3356261651195154,0.2522727272727272,0.3743738348804846,0.45772727272727276,0.3743738348804846,0.45772727272727276
GW190720_000836,0.4785714285714286,-0.27,0.54,0.7,0.3229397552487815,0.2778260869565217,0.37706024475121847,0.42217391304347823,0.37706024475121847,0.42217391304347823
GW190521_074359,0.7866004962779156,0.32,0.17,0.71,0.3315295946646999,0.2360416666666666,0.3784704053353001,0.47395833333333337,0.3784704053353001,0.47395833333333337
GW170729,0.6778656126482213,0.37,0.29,0.81,0.425158744117231,0.3223203769140165,0.3848412558827691,0.48767962308598356,0.3848412558827691,0.48767962308598356
GW190512_180714,0.5258620689655172,-0.19,0.43,0.68,0.259497726330446,0.2163276836158191,0.42050227366955406,0.46367231638418094,0.42050227366955406,0.46367231638418094
GW151012,0.5836909871244634,0.15,0.1,0.61,0.1474455588326154,0.1184281842818428,0.4625544411673846,0.49157181571815717,0.4625544411673846,0.49157181571815717
GW170104,0.6483870967741936,-0.04,0.22,0.64,0.1525640867286664,0.1177299412915851,0.4874359132713336,0.5222700587084149,0.4874359132713336,0.5222700587084149
GW190424_180648,0.3955431754874652,0.44,-0.09,0.56,0.0660673734455194,0.0602195608782435,0.49393262655448067,0.49978043912175657,0.49393262655448067,0.49978043912175657
GW170809,0.6761363636363636,0.16,0.07,0.7,0.140077881854959,0.1063050847457627,0.5599221181450409,0.5936949152542372,0.5599221181450409,0.5936949152542372
