file,Sij,baseline_test_MSE,train_improvement_percent,gate_threshold_percent,gated
LQP15MN22NG02_series.s2p,S12,0.03982682736927068,0.37311614850525415,2.0,False
LQP15MN27NG02_series.s2p,S12,0.03782348636773737,0.38853257714095574,2.0,False
LQP15MN2N0B02_series.s2p,S12,0.002267395194063322,0.11510948181413347,2.0,False
LQP15MN2N0W02_series.s2p,S12,0.002267395194063322,0.11510948181413347,2.0,False
LQP15MN2N1W02_series.s2p,S12,0.003377486201497533,0.18381730931517465,2.0,False
LQP15MN2N2B02_series.s2p,S12,0.0048442045458470286,0.23713269272513932,2.0,False
LQP15MN2N2W02_series.s2p,S12,0.0048442045458470286,0.23713269272513932,2.0,False
LQP15MN2N3W02_series.s2p,S12,0.005340731122615361,0.24430053247026917,2.0,False
LQP15MN2N4B02_series.s2p,S12,0.007568910349850957,0.28047431887451935,2.0,False
LQP15MN2N4W02_series.s2p,S12,0.007568910349850957,0.28047431887451935,2.0,False
LQP15MN2N5W02_series.s2p,S12,0.022072936878154516,0.38985157673467624,2.0,False
LQP15MN2N6W02_series.s2p,S12,0.010411117368985775,0.29804447271959505,2.0,False
LQP15MN2N7B02_series.s2p,S12,0.010444830185485582,0.2869957765668708,2.0,False
LQP15MN2N7W02_series.s2p,S12,0.010444830185485582,0.2869957765668708,2.0,False
LQP15MN2N8W02_series.s2p,S12,0.012040089575582367,0.2947468191995201,2.0,False
LQP15MN2N9W02_series.s2p,S12,0.013109545705543704,0.2951447052071507,2.0,False
LQP15MN33NG02_series.s2p,S12,0.035452276836421354,0.4004273966610657,2.0,False
LQP15MN3N0B02_series.s2p,S12,0.01336458114316683,0.28937184807007316,2.0,False
LQP15MN3N0W02_series.s2p,S12,0.01336458114316683,0.28937184807007316,2.0,False
LQP15MN3N1W02_series.s2p,S12,0.013835194423105985,0.2848104244564489,2.0,False
LQP15MN3N2W02_series.s2p,S12,0.018420683628288928,0.3091325726693919,2.0,False
LQP15MN3N3B02_series.s2p,S12,0.020052230609527592,0.3109363858019921,2.0,False
LQP15MN3N3W02_series.s2p,S12,0.020052230609527592,0.3109363858019921,2.0,False
LQP15MN3N4W02_series.s2p,S12,0.021242445081083576,0.3090689621448307,2.0,False
LQP15MN3N5W02_series.s2p,S12,0.02279022378066637,0.3079182403909838,2.0,False
LQP15MN3N6B02_series.s2p,S12,0.02382350153595194,0.3079607930625497,2.0,False
LQP15MN3N6W02_series.s2p,S12,0.02382350153595194,0.3079607930625497,2.0,False
LQP15MN3N7W02_series.s2p,S12,0.024322876472072992,0.30543037949367685,2.0,False
LQP15MN3N8W02_series.s2p,S12,0.027052673616356333,0.3122833858716529,2.0,False
LQP15MN3N9B02_series.s2p,S12,0.02430771041105753,0.2961048934738612,2.0,False
LQP15MN3N9W02_series.s2p,S12,0.02430771041105753,0.2961048934738612,2.0,False
