composite_id,left_id,right_id,u1,u2,u12,delta,cosine,oppose_overlap
C_K_3_1_mirror__K_8_14,K_3_1_mirror,K_8_14,29,366,382,-13,0.4495325823983663,13
C_K_3_1_mirror__K_8_14_mirror,K_3_1_mirror,K_8_14_mirror,29,498,509,-18,-0.5241634342596216,18
C_K_3_1_mirror__K_8_15,K_3_1_mirror,K_8_15,29,106,126,-9,0.44172908876382105,9
C_K_3_1_mirror__K_8_15_mirror,K_3_1_mirror,K_8_15_mirror,29,200,205,-24,-0.695166804311178,24
C_K_3_1_mirror__K_8_16,K_3_1_mirror,K_8_16,29,190,190,-29,-0.8278613068051142,29
C_K_3_1_mirror__K_8_16_mirror,K_3_1_mirror,K_8_16_mirror,29,105,126,-8,0.5675553402598104,8
C_K_3_1_mirror__K_8_17,K_3_1_mirror,K_8_17,29,334,334,-29,-0.729825353129229,29
C_K_3_1_mirror__K_8_17_mirror,K_3_1_mirror,K_8_17_mirror,29,199,227,-1,0.6028845154527329,1
C_K_3_1_mirror__K_8_18,K_3_1_mirror,K_8_18,29,315,337,-7,0.5105324354241481,7
C_K_3_1_mirror__K_8_18_mirror,K_3_1_mirror,K_8_18_mirror,29,450,461,-18,-0.5779746926942754,18
C_K_3_1_mirror__K_8_19,K_3_1_mirror,K_8_19,29,303,313,-19,-0.6253151961068091,19
C_K_3_1_mirror__K_8_19_mirror,K_3_1_mirror,K_8_19_mirror,29,210,236,-3,0.5059702173111189,3
C_K_3_1_mirror__K_8_20,K_3_1_mirror,K_8_20,29,334,334,-29,-0.729825353129229,29
C_K_3_1_mirror__K_8_20_mirror,K_3_1_mirror,K_8_20_mirror,29,199,227,-1,0.6028845154527329,1
C_K_3_1_mirror__K_8_21,K_3_1_mirror,K_8_21,29,334,334,-29,-0.729825353129229,29
C_K_3_1_mirror__K_8_21_mirror,K_3_1_mirror,K_8_21_mirror,29,199,227,-1,0.6028845154527329,1
C_K_4_1__K_3_1,K_4_1,K_3_1,65,29,84,-10,0.1677005618065333,10
C_K_4_1__K_3_1_mirror,K_4_1,K_3_1_mirror,65,29,84,-10,0.1677005618065333,10
C_K_4_1__K_4_1_mirror,K_4_1,K_4_1_mirror,65,65,130,0,0.9999999999999999,0
C_K_4_1__K_5_1,K_4_1,K_5_1,65,52,95,-22,0.052927836307886396,22
C_K_4_1__K_5_1_mirror,K_4_1,K_5_1_mirror,65,36,98,-3,0.8334444666716061,3
C_K_4_1__K_5_2,K_4_1,K_5_2,65,69,108,-26,0.04782480386694283,26
C_K_4_1__K_5_2_mirror,K_4_1,K_5_2_mirror,65,69,108,-26,0.04782480386694283,26
C_K_4_1__K_6_1,K_4_1,K_6_1,65,109,154,-20,0.18049116026245482,20
C_K_4_1__K_6_1_mirror,K_4_1,K_6_1_mirror,65,90,147,-8,0.6701636276436141,8
C_K_4_1__K_6_2,K_4_1,K_6_2,65,102,164,-3,0.7077676111288775,3
C_K_4_1__K_6_2_mirror,K_4_1,K_6_2_mirror,65,99,156,-8,0.7056333731248948,8
C_K_4_1__K_6_3,K_4_1,K_6_3,65,84,142,-7,0.7835693783650513,7
C_K_4_1__K_6_3_mirror,K_4_1,K_6_3_mirror,65,84,142,-7,0.7835693783650513,7
C_K_4_1__K_7_1,K_4_1,K_7_1,65,159,203,-21,0.06473002880731227,21
C_K_4_1__K_7_1_mirror,K_4_1,K_7_1_mirror,65,159,203,-21,0.06473002880731227,21
C_K_4_1__K_7_2,K_4_1,K_7_2,65,203,236,-32,0.003385539302160081,32
C_K_4_1__K_7_2_mirror,K_4_1,K_7_2_mirror,65,203,236,-32,0.003385539302160081,32
C_K_4_1__K_7_3,K_4_1,K_7_3,65,184,221,-28,0.04162597280506041,28
C_K_4_1__K_7_3_mirror,K_4_1,K_7_3_mirror,65,184,221,-28,0.04162597280506041,28
C_K_4_1__K_7_4,K_4_1,K_7_4,65,147,189,-23,0.0007552678365293409,23
C_K_4_1__K_7_4_mirror,K_4_1,K_7_4_mirror,65,147,189,-23,0.0007552678365293409,23
C_K_4_1__K_7_5,K_4_1,K_7_5,65,131,180,-16,0.07522178921744542,16
C_K_4_1__K_7_5_mirror,K_4_1,K_7_5_mirror,65,131,180,-16,0.07522178921744542,16
C_K_4_1__K_7_6,K_4_1,K_7_6,65,405,430,-40,-0.09112103306956727,40
C_K_4_1__K_7_6_mirror,K_4_1,K_7_6_mirror,65,405,430,-40,-0.09112103306956727,40
C_K_4_1__K_7_7,K_4_1,K_7_7,65,125,175,-15,0.29197152886967614,15
C_K_4_1__K_7_7_mirror,K_4_1,K_7_7_mirror,65,125,175,-15,0.29197152886967614,15
C_K_4_1__K_8_1,K_4_1,K_8_1,65,307,354,-18,0.24280461887975188,18
C_K_4_1__K_8_1_mirror,K_4_1,K_8_1_mirror,65,209,239,-35,-0.027579953344326957,35
